 main2015 八月 27 20:23:09,033 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noUnsafe: false
 main2015 八月 27 20:23:09,034 DEBUG io.netty.util.internal.PlatformDependent sun.misc.Unsafe: available
 main2015 八月 27 20:23:09,035 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noJavassist: false
 main2015 八月 27 20:23:09,037 DEBUG io.netty.util.internal.PlatformDependent Javassist: unavailable
 main2015 八月 27 20:23:09,038 DEBUG io.netty.util.internal.PlatformDependent You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
 main2015 八月 27 20:23:09,039 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.tmpdir: C:\Users\taojiaen\AppData\Local\Temp (java.io.tmpdir)
 main2015 八月 27 20:23:09,040 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.bitMode: 64 (sun.arch.data.model)
 main2015 八月 27 20:23:09,041 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noPreferDirect: false
 main2015 八月 27 20:23:09,146 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.noKeySetOptimization: false
 main2015 八月 27 20:23:09,146 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.selectorAutoRebuildThreshold: 512
 main2015 八月 27 20:23:09,221 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port
 main2015 八月 27 20:23:09,316 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numHeapArenas: 1
 main2015 八月 27 20:23:09,317 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numDirectArenas: 1
 main2015 八月 27 20:23:09,317 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.pageSize: 8192
 main2015 八月 27 20:23:09,317 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxOrder: 11
 main2015 八月 27 20:23:09,318 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.chunkSize: 16777216
 main2015 八月 27 20:23:09,318 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.tinyCacheSize: 512
 main2015 八月 27 20:23:09,318 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.smallCacheSize: 256
 main2015 八月 27 20:23:09,319 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.normalCacheSize: 64
 main2015 八月 27 20:23:09,319 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxCachedBufferCapacity: 32768
 main2015 八月 27 20:23:09,319 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.cacheTrimInterval: 8192
 main2015 八月 27 20:23:09,442 DEBUG io.netty.util.internal.ThreadLocalRandom -Dio.netty.initialSeedUniquifier: 0xa509468ae8e316f0 (took 58 ms)
 IMServer-push-listener2015 八月 27 20:23:09,603 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.allocator.type: unpooled
 IMServer-push-listener2015 八月 27 20:23:09,619 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.threadLocalDirectBufferSize: 65536
 IMServer-push-listener2015 八月 27 20:23:09,682 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port:9966
 main2015 八月 27 20:23:10,138 DEBUG io.netty.util.NetUtil Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
 IMServer-push-listener2015 八月 27 20:23:10,141 DEBUG io.netty.util.NetUtil \proc\sys\net\core\somaxconn: 200 (non-existent)
